                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5854,                 5.7671,                 4.2821,                      0,                      0,                      0,                      0,                 3.4636,                 5.3552,                 4.1595,                 0.0007,                 0.0007,                 0.0007
                      2,                 3.5012,                 5.7662,                 4.2621,                      0,                      0,                      0,                      0,                 3.4633,                 5.3544,                 4.1598,              0.0014999,              0.0014999,              0.0014999
                      3,                 3.5696,                 5.7482,                 4.2592,                      0,                      0,                      0,                      0,                 3.4634,                 5.3546,                 4.1595,              0.0022995,              0.0022995,              0.0022995
                      4,                 3.6534,                 5.7225,                 4.2492,                      0,                      0,                      0,                      0,                 3.4621,                 5.3537,                 4.1594,              0.0030991,              0.0030991,              0.0030991
                      5,                 3.6347,                 5.6881,                 4.2246,                      0,                      0,                      0,                      0,                 3.4613,                 5.3533,                 4.1592,              0.0038985,              0.0038985,              0.0038985
                      6,                 3.5945,                 5.6886,                  4.203,                      0,                      0,                      0,                      0,                 3.4614,                 5.3546,                 4.1577,              0.0046977,              0.0046977,              0.0046977
                      7,                  3.537,                  5.653,                 4.1981,                      0,                      0,                      0,                      0,                 3.4609,                 5.3556,                  4.157,              0.0054967,              0.0054967,              0.0054967
                      8,                 3.5704,                 5.6242,                 4.1874,                      0,                      0,                      0,                      0,                 3.4604,                   5.36,                 4.1561,              0.0062956,              0.0062956,              0.0062956
                      9,                 3.5797,                 5.6035,                 4.1757,                      0,                      0,                      0,                      0,                 3.4589,                 5.3677,                 4.1559,              0.0070944,              0.0070944,              0.0070944
                     10,                 3.4739,                 5.4974,                 4.1551,                      0,                      0,                      0,                      0,                 3.4573,                 5.3775,                 4.1584,               0.007893,               0.007893,               0.007893
                     11,                 3.5139,                 5.4252,                 4.1164,                      0,                      0,                      0,                      0,                 3.4504,                 5.4088,                 4.1725,              0.0086914,              0.0086914,              0.0086914
                     12,                 3.4668,                 5.4096,                 4.0868,                      0,                      0,                      0,                      0,                 3.4499,                 5.4289,                 4.1821,              0.0094897,              0.0094897,              0.0094897
                     13,                 3.4637,                 5.4856,                 4.0684,                      0,                      0,                      0,                      0,                 3.4428,                 5.4451,                 4.1937,              0.0099881,              0.0099881,              0.0099881
                     14,                 3.4944,                 5.3688,                 4.0303,                0.00025,                  6e-05,                0.00013,                  1e-05,                 3.3882,                 5.3366,                 4.1458,              0.0099881,              0.0099881,              0.0099881
                     15,                 3.4855,                 5.3137,                 3.9862,                0.00032,                0.00044,                0.00019,                  5e-05,                 3.3526,                 5.2568,                 4.1072,              0.0099871,              0.0099871,              0.0099871
                     16,                  3.321,                 5.2159,                 3.9037,                0.00024,                0.00739,                 0.0002,                  6e-05,                  3.318,                 5.1153,                 4.0394,              0.0099861,              0.0099861,              0.0099861
                     17,                   3.39,                 5.1666,                 3.8623,                0.00021,                0.01912,                0.00021,                  6e-05,                 3.4961,                 5.8805,                 4.2683,              0.0099851,              0.0099851,              0.0099851
