                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4637,                 1.9065,                 1.4038,                0.55714,                0.29209,                0.33767,                0.21264,                 1.7624,                 2.0515,                 1.5892,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.4084,                 1.7871,                 1.3646,                0.60376,                0.31275,                0.35768,                0.22256,                 1.6044,                 1.9555,                 1.4819,             1.7791e-05,             1.7791e-05,             1.7791e-05
                      3,                 1.4193,                 1.6876,                 1.3343,                0.51927,                 0.3493,                0.40334,                0.25273,                 1.4787,                 1.7639,                 1.3896,             2.7189e-05,             2.7189e-05,             2.7189e-05
                      4,                  1.433,                 1.6975,                 1.3686,                 0.5385,                0.45192,                 0.4851,                 0.3165,                 1.3876,                 1.5147,                 1.3249,             3.6525e-05,             3.6525e-05,             3.6525e-05
                      5,                 1.3639,                 1.5148,                 1.3478,                0.54841,                 0.5394,                0.56353,                0.36847,                 1.3421,                 1.3646,                 1.3024,             4.5797e-05,             4.5797e-05,             4.5797e-05
                      6,                 1.3164,                 1.5618,                 1.3176,                0.59675,                0.56665,                0.60651,                0.39494,                 1.3094,                 1.2962,                 1.2764,             5.5007e-05,             5.5007e-05,             5.5007e-05
                      7,                 1.3383,                 1.4001,                 1.3296,                 0.6818,                0.55894,                0.63079,                0.42375,                 1.2816,                 1.2373,                   1.26,             6.4154e-05,             6.4154e-05,             6.4154e-05
                      8,                  1.308,                 1.3927,                 1.3161,                0.60477,                  0.626,                0.63541,                 0.4168,                 1.2631,                 1.1862,                  1.245,             7.3238e-05,             7.3238e-05,             7.3238e-05
                      9,                 1.2554,                 1.3255,                 1.2625,                0.69258,                0.60437,                0.66861,                0.44727,                 1.2482,                 1.1357,                 1.2416,             8.2259e-05,             8.2259e-05,             8.2259e-05
                     10,                 1.2892,                  1.388,                 1.3251,                0.66586,                0.61469,                0.64524,                0.43846,                 1.2353,                 1.1257,                  1.238,             9.1218e-05,             9.1218e-05,             9.1218e-05
                     11,                 1.2597,                 1.3131,                 1.2833,                0.75955,                0.59354,                0.67499,                0.45324,                 1.2334,                 1.0972,                  1.227,             0.00010011,             0.00010011,             0.00010011
                     12,                 1.3014,                 1.3468,                 1.3181,                0.70109,                0.62845,                0.66723,                0.46599,                 1.2388,                 1.0792,                 1.2307,             0.00010895,             0.00010895,             0.00010895
                     13,                 1.2274,                 1.2633,                 1.2697,                0.73025,                0.60771,                0.69336,                0.47955,                 1.2157,                 1.0459,                 1.2175,             0.00011429,             0.00011429,             0.00011429
                     14,                 1.2322,                 1.2788,                 1.2974,                0.72999,                0.62932,                  0.699,                0.48408,                 1.2309,                 1.0308,                 1.2246,             0.00011429,             0.00011429,             0.00011429
                     15,                 1.2286,                 1.2476,                 1.2817,                0.77714,                0.60821,                0.69958,                0.47889,                 1.2228,                 1.0136,                 1.2263,             0.00011389,             0.00011389,             0.00011389
                     16,                 1.2425,                 1.2379,                 1.2729,                0.74392,                0.64536,                0.71492,                0.48924,                 1.2112,                 1.0143,                 1.2109,              0.0001135,              0.0001135,              0.0001135
                     17,                 1.2708,                 1.2529,                 1.2839,                 0.7251,                0.64903,                0.71647,                0.49244,                  1.203,                 1.0043,                 1.2152,             0.00011311,             0.00011311,             0.00011311
                     18,                 1.2669,                 1.1955,                 1.2483,                0.75717,                0.65423,                0.73349,                0.51452,                 1.1887,                0.99285,                  1.202,             0.00011272,             0.00011272,             0.00011272
                     19,                 1.1783,                 1.1619,                 1.2474,                0.73167,                0.66367,                0.73958,                 0.5103,                 1.1769,                0.97377,                 1.1944,             0.00011232,             0.00011232,             0.00011232
                     20,                 1.2234,                  1.206,                 1.2587,                 0.7405,                0.65998,                0.74617,                0.52409,                 1.1703,                0.94591,                 1.1909,             0.00011193,             0.00011193,             0.00011193
                     21,                 1.2323,                 1.1371,                 1.2487,                 0.7594,                0.64825,                0.74707,                0.52251,                 1.1518,                0.92789,                 1.1817,             0.00011154,             0.00011154,             0.00011154
                     22,                 1.2004,                 1.1249,                 1.2303,                0.73851,                0.68998,                0.75232,                0.53143,                 1.1621,                0.92583,                  1.194,             0.00011115,             0.00011115,             0.00011115
                     23,                 1.1987,                  1.158,                 1.2741,                0.76835,                0.64463,                0.76813,                0.54043,                 1.1379,                0.92286,                 1.1786,             0.00011075,             0.00011075,             0.00011075
                     24,                  1.191,                 1.1467,                 1.2479,                0.82708,                0.62113,                0.76275,                0.53293,                 1.1459,                0.92523,                 1.1918,             0.00011036,             0.00011036,             0.00011036
                     25,                 1.1724,                 1.0923,                 1.2456,                0.72749,                0.71356,                0.78082,                0.53994,                 1.1235,                 0.9115,                 1.1812,             0.00010997,             0.00010997,             0.00010997
                     26,                 1.2062,                 1.1338,                 1.2435,                0.77031,                0.71301,                0.78878,                 0.5487,                 1.1236,                0.90158,                  1.178,             0.00010958,             0.00010958,             0.00010958
                     27,                 1.1785,                 1.1058,                 1.2485,                 0.7219,                0.73097,                0.78796,                0.55206,                 1.1271,                0.88759,                 1.1796,             0.00010918,             0.00010918,             0.00010918
                     28,                 1.1718,                 1.0765,                 1.2314,                0.80571,                 0.6917,                0.79781,                0.56277,                 1.1211,                 0.8698,                 1.1787,             0.00010879,             0.00010879,             0.00010879
                     29,                 1.2488,                 1.1152,                 1.2434,                0.73583,                0.76461,                  0.804,                0.56686,                 1.1132,                0.86001,                 1.1646,              0.0001084,              0.0001084,              0.0001084
                     30,                 1.1589,                 1.0406,                 1.2145,                0.73394,                0.75571,                0.80156,                0.57145,                 1.0892,                0.85657,                 1.1465,               0.000108,               0.000108,               0.000108
                     31,                 1.1501,                 1.0447,                 1.2188,                0.76627,                0.73517,                0.81046,                0.56653,                 1.0902,                0.84658,                 1.1509,             0.00010761,             0.00010761,             0.00010761
                     32,                 1.1342,                  1.075,                 1.1916,                0.82546,                0.71086,                0.81852,                0.57985,                 1.0756,                0.82797,                 1.1406,             0.00010722,             0.00010722,             0.00010722
                     33,                 1.1857,                 1.0905,                 1.2467,                0.80982,                0.72265,                0.82308,                0.58728,                 1.0938,                0.83593,                 1.1535,             0.00010683,             0.00010683,             0.00010683
                     34,                 1.1381,                 1.0337,                 1.2057,                0.82623,                0.71877,                0.81648,                0.58001,                 1.0945,                 0.8369,                   1.16,             0.00010643,             0.00010643,             0.00010643
                     35,                 1.1524,                 1.1019,                 1.2491,                0.82695,                0.72306,                0.83379,                0.59305,                 1.0953,                0.82355,                 1.1585,             0.00010604,             0.00010604,             0.00010604
                     36,                 1.1331,                 1.0221,                 1.2238,                0.82268,                0.75347,                 0.8292,                0.58547,                 1.0858,                0.81585,                 1.1534,             0.00010565,             0.00010565,             0.00010565
                     37,                 1.1261,                 1.0241,                 1.2163,                0.78331,                0.74585,                0.83399,                0.59648,                 1.0815,                0.81033,                 1.1476,             0.00010526,             0.00010526,             0.00010526
                     38,                  1.127,                 1.0292,                 1.2234,                0.81191,                0.75106,                0.83919,                0.59341,                 1.0585,                0.79611,                 1.1372,             0.00010486,             0.00010486,             0.00010486
                     39,                 1.1314,                0.98683,                 1.1875,                0.78704,                0.73431,                0.83494,                0.59552,                 1.0682,                0.79913,                 1.1391,             0.00010447,             0.00010447,             0.00010447
                     40,                 1.1405,                 1.0248,                 1.2086,                0.84045,                0.73348,                0.84575,                0.60026,                 1.0629,                0.80289,                 1.1395,             0.00010408,             0.00010408,             0.00010408
                     41,                 1.1228,                 1.0131,                 1.1959,                0.75514,                0.79856,                 0.8376,                0.60261,                 1.0496,                0.80404,                 1.1324,             0.00010368,             0.00010368,             0.00010368
                     42,                 1.0783,                0.97643,                 1.1778,                 0.8008,                0.76216,                0.84446,                  0.617,                 1.0398,                 0.7937,                 1.1297,             0.00010329,             0.00010329,             0.00010329
                     43,                 1.1286,                 1.0043,                 1.1828,                0.76765,                0.82873,                0.85058,                 0.6065,                 1.0369,                0.79722,                 1.1294,              0.0001029,              0.0001029,              0.0001029
                     44,                 1.0935,                  1.005,                 1.2077,                0.83671,                0.75143,                0.84957,                0.62575,                  1.023,                0.78095,                 1.1206,             0.00010251,             0.00010251,             0.00010251
                     45,                 1.1358,                0.95609,                 1.1864,                0.82799,                0.77863,                0.85882,                0.62986,                 1.0277,                0.77583,                 1.1192,             0.00010211,             0.00010211,             0.00010211
                     46,                 1.0995,                0.98292,                 1.2058,                0.83227,                0.77872,                0.84766,                0.62169,                 1.0254,                0.76992,                 1.1289,             0.00010172,             0.00010172,             0.00010172
                     47,                 1.0902,                 0.9668,                 1.1969,                0.84787,                 0.7657,                0.84587,                0.62799,                 1.0109,                0.75839,                 1.1074,             0.00010133,             0.00010133,             0.00010133
                     48,                 1.1137,                0.97432,                 1.1804,                0.84947,                0.75325,                0.85301,                0.62731,                  1.014,                0.75923,                 1.1141,             0.00010094,             0.00010094,             0.00010094
                     49,                 1.1234,                 1.0151,                 1.2081,                0.84889,                0.75844,                0.85511,                 0.6231,                  1.024,                0.75752,                 1.1162,             0.00010054,             0.00010054,             0.00010054
                     50,                 1.0791,                0.93666,                 1.1837,                 0.8548,                0.76476,                0.85756,                0.62999,                  1.013,                0.74937,                 1.1156,             0.00010015,             0.00010015,             0.00010015
                     51,                 1.1258,                0.96687,                 1.1994,                0.85582,                0.78068,                0.85467,                0.63762,                 0.9947,                0.74858,                 1.1004,             9.9758e-05,             9.9758e-05,             9.9758e-05
                     52,                 1.1235,                0.97579,                 1.2104,                0.88055,                0.76025,                0.85211,                0.63692,                0.99404,                0.75815,                  1.105,             9.9365e-05,             9.9365e-05,             9.9365e-05
                     53,                 1.0897,                0.93887,                 1.1726,                0.85246,                0.79039,                0.85924,                0.64187,                0.98902,                 0.7399,                 1.1076,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     54,                 1.1394,                0.98294,                 1.1953,                0.85678,                0.77329,                0.85859,                0.63705,                 0.9929,                0.74667,                 1.1045,              9.858e-05,              9.858e-05,              9.858e-05
                     55,                 1.0743,                0.92589,                 1.1719,                0.84619,                0.78118,                0.85654,                0.63545,                0.98327,                0.74399,                 1.0932,             9.8187e-05,             9.8187e-05,             9.8187e-05
                     56,                 1.0824,                0.91269,                 1.1769,                0.85605,                0.76637,                0.86335,                0.64625,                 0.9854,                0.73374,                 1.0981,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     57,                 1.0781,                0.96254,                 1.2175,                0.85413,                0.78359,                0.86675,                0.63785,                0.99186,                0.72685,                 1.0986,             9.7402e-05,             9.7402e-05,             9.7402e-05
                     58,                  1.093,                0.90731,                 1.1727,                0.85084,                0.79042,                0.86805,                0.64637,                0.97862,                0.71629,                 1.0942,             9.7009e-05,             9.7009e-05,             9.7009e-05
                     59,                 1.0662,                0.90822,                 1.1599,                0.84085,                0.79669,                0.86995,                0.65172,                0.97055,                0.72268,                 1.0905,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     60,                 1.0823,                0.94881,                  1.182,                0.79401,                0.81658,                0.86826,                0.63995,                0.96303,                0.72041,                 1.0859,             9.6223e-05,             9.6223e-05,             9.6223e-05
                     61,                 1.0609,                0.92037,                 1.1951,                0.83988,                0.79122,                 0.8642,                0.64099,                0.98216,                0.71527,                 1.0942,             9.5831e-05,             9.5831e-05,             9.5831e-05
